	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
128	Senegal	85954	2.0	1965.0		83970.0	3.0	19.0		4903.0	112.0	1057173.0	60306.0	17530267.0	Africa
129	Malawi	85713	6.0	2628.0		81889.0	229.0	1196.0	67.0	4283.0	131.0	567431.0	28356.0	20010914.0	Africa
130	Ivory Coast	81838	4.0	797.0		81004.0	3.0	37.0		2971.0	29.0	1485035.0	53918.0	27542434.0	Africa
131	French Guiana	79529		394.0		11254.0		67881.0	4.0	254510.0	1261.0	613484.0	1963281.0	312479.0	South America
132	Suriname	79276	35.0	1325.0		49395.0	3.0	28556.0		133012.0	2223.0	235707.0	395478.0	596005.0	South America
133	French Polynesia	72596	26.0	648.0					7.0	255796.0	2283.0			283804.0	Australia/Oceania
134	Channel Islands	72213	224.0	164.0		70116.0	177.0	1933.0		408627.0	928.0	1252269.0	7086136.0	176721.0	Europe
135	Eswatini	70048	34.0	1395.0		68567.0	13.0	86.0	11.0	59283.0	1181.0	1008368.0	853403.0	1181585.0	Africa
136	Fiji	64502	3.0	862.0		62662.0	18.0	978.0		71035.0	949.0	506083.0	557342.0	908029.0	Australia/Oceania
137	Madagascar	64089		1390.0		59355.0		3344.0	14.0	2213.0	48.0	415532.0	14349.0	28959701.0	Africa
138	Barbados	63357	389.0	381.0	2.0	59521.0		3455.0		219988.0	1323.0	626701.0	2176030.0	288002.0	North America
139	Guyana	63349	9.0	1227.0	1.0	62024.0	19.0	98.0	1.0	79853.0	1547.0	580888.0	732223.0	793321.0	South America
140	Sudan	62057	23.0	4929.0	4.0					1359.0	108.0	562941.0	12325.0	45674042.0	Africa
141	New Caledonia	60385		312.0		60011.0		62.0	9.0	207943.0	1074.0	98964.0	340795.0	290392.0	Australia/Oceania
142	Mauritania	58680	1.0	982.0		57686.0	1.0	12.0		12056.0	202.0	791559.0	162622.0	4867464.0	Africa
143	Belize	57331	13.0	672.0		56473.0	7.0	186.0	6.0	139662.0	1637.0	529581.0	1290097.0	410497.0	North America
144	Cabo Verde	55978	4.0	401.0		55514.0	2.0	63.0	23.0	98769.0	708.0	400982.0	707505.0	566755.0	Africa
145	Syria	55756	6.0	3148.0	1.0	51893.0	14.0	715.0		3054.0	172.0	146269.0	8011.0	18258360.0	Asia
146	Gabon	47588		303.0		47270.0		15.0		20518.0	131.0	1589113.0	685158.0	2319339.0	Africa
147	Bhutan	47187	2131.0	14.0		37034.0	1611.0	10139.0	7.0	59976.0	18.0	2203246.0	2800408.0	786759.0	Asia
148	Papua New Guinea	43615		649.0		42906.0		60.0	7.0	4716.0	70.0	249149.0	26937.0	9249156.0	Australia/Oceania
149	Curaçao	41153		270.0		40306.0		577.0	3.0	248975.0	1633.0	494095.0	2989261.0	165290.0	North America
150	Seychelles	40866		164.0		39963.0		739.0		410990.0	1649.0			99433.0	Africa
151	Andorra	40709	381.0	153.0		39999.0	297.0	557.0	14.0	525379.0	1975.0	249838.0	3224340.0	77485.0	Europe
152	Burundi	38698		38.0		773.0		37887.0		3090.0	3.0	345742.0	27611.0	12521817.0	Africa
153	Mauritius	37210	34.0	985.0		35090.0	88.0	1135.0		29172.0	772.0	358675.0	281196.0	1275532.0	Africa
154	Mayotte	36958		187.0		2964.0		33807.0		129884.0	657.0	176919.0	621757.0	284547.0	Africa
155	Togo	36957		272.0		36659.0		26.0		4285.0	32.0	723005.0	83831.0	8624551.0	Africa
156	Guinea	36459		440.0		35976.0		43.0	8.0	2648.0	32.0	660107.0	47946.0	13767603.0	Africa
157	Faeroe Islands	34658		28.0		7693.0		26937.0	5.0	704517.0	569.0	778000.0	15814937.0	49194.0	Europe
158	Aruba	34189		212.0		33893.0		84.0	2.0	317818.0	1971.0	177885.0	1653606.0	107574.0	North America
159	Tanzania	33851		803.0					7.0	539.0	13.0			62766105.0	Africa
160	Bahamas	33368	2.0	789.0		32253.0	9.0	326.0	11.0	83431.0	1973.0	229025.0	572641.0	399945.0	North America
161	Lesotho	32910		697.0		24155.0		8058.0		15148.0	321.0	431221.0	198488.0	2172534.0	Africa
162	Mali	30602	13.0	729.0		29689.0	16.0	184.0		1437.0	34.0	657234.0	30870.0	21290208.0	Africa
163	Haiti	30586		835.0		29100.0		651.0		2625.0	72.0	132422.0	11366.0	11650389.0	North America
164	Taiwan	29592	932.0	854.0		21473.0	139.0	7265.0		1238.0	36.0	13482923.0	564289.0	23893650.0	Asia
165	Isle of Man	28416		87.0		26794.0		1535.0		331054.0	1014.0	150753.0	1756312.0	85835.0	Europe
166	Benin	26952		163.0		25506.0		1283.0	5.0	2124.0	13.0	604310.0	47624.0	12689095.0	Africa
167	Somalia	26471		1350.0		13182.0		11939.0		1587.0	81.0	400466.0	24004.0	16683375.0	Africa
168	Congo	24079		385.0		20178.0		3516.0		4180.0	67.0	347815.0	60383.0	5760155.0	Africa
169	Saint Lucia	23045		365.0		22616.0		64.0	1.0	124484.0	1972.0	141332.0	763445.0	185124.0	North America
170	Timor-Leste	22848	4.0	130.0		22703.0		15.0		16760.0	95.0	259788.0	190571.0	1363211.0	Asia
171	Cayman Islands	21121		25.0		8553.0		12543.0	1.0	314778.0	373.0	222773.0	3320114.0	67098.0	North America
172	Burkina Faso	20853		382.0		20439.0		32.0		951.0	17.0	248995.0	11357.0	21924711.0	Africa
173	Nicaragua	18491		225.0		4225.0		14041.0		2733.0	33.0			6765095.0	North America
174	Tajikistan	17388		124.0		17264.0		0.0		1753.0	13.0			9919478.0	Asia
175	South Sudan	17362	6.0	138.0		13514.0		3710.0	1.0	1519.0	12.0	369176.0	32305.0	11427741.0	Africa
176	Gibraltar	17236		101.0		16579.0		556.0		511864.0	2999.0	534283.0	15866807.0	33673.0	Europe
177	Liechtenstein	16865	31.0	84.0		16432.0	36.0	349.0	1.0	440075.0	2192.0	102174.0	2666127.0	38323.0	Europe
178	Equatorial Guinea	15906	2.0	183.0		15697.0	1.0	26.0	5.0	10710.0	123.0	307847.0	207289.0	1485107.0	Africa
179	San Marino	15683		114.0		15225.0		344.0	4.0	460479.0	3347.0	147532.0	4331787.0	34058.0	Europe
180	Djibouti	15598	3.0	189.0		15404.0		5.0		15388.0	186.0	301567.0	297516.0	1013617.0	Africa
181	CAR	14649		113.0		6859.0		7677.0	2.0	2942.0	23.0	81294.0	16326.0	4979475.0	Africa
182	Grenada	14092	28.0	219.0		13807.0	14.0	66.0	4.0	124210.0	1930.0	145920.0	1286171.0	113453.0	North America
